ad_id,original_text,typology_labels,typology_count,word_count,exclamation_count,question_count
ad_0,Last 24 hours! Save 70% on premium software before this deal disappears forever!,Urgency / Scarcity; Aspirational / Lifestyle,2,13,2,0
ad_1,"Join over 50,000 successful entrepreneurs who've transformed their business with our platform",Urgency / Scarcity,1,12,0,0
ad_2,Feel confident and radiant - discover the skincare routine that changed everything,Urgency / Scarcity; Emotional Appeal,2,12,0,0
ad_3,Get enterprise-grade security at startup prices - 90% off your first year,Urgency / Scarcity; Value Proposition / Deal,2,12,0,0
ad_4,"Tired of complex project management tools? Finally, a simple solution that just works!",Urgency / Scarcity; Problem / Solution Framing,2,13,1,1
ad_5,Live the effortless luxury lifestyle you've always dreamed of - starting today,Urgency / Scarcity; Aspirational / Lifestyle,2,12,0,0
ad_6,Learn the 3-step system that top sales professionals use to close 80% more deals,Urgency / Scarcity,1,14,0,0
ad_7,"We get it - finding the perfect mattress is about as fun as watching paint dry, but trust us on this one",Urgency / Scarcity; Brand Voice / Meta Language,2,22,0,0
ad_8,"Stop losing money to hidden fees! Our transparent pricing saves businesses $2,400 annually",Urgency / Scarcity; Problem / Solution Framing,2,13,1,0
ad_9,See why Fortune 500 companies choose our award-winning customer service platform,Urgency / Scarcity,1,11,0,0
ad_10,Transform your mornings with the 5-minute routine that energizes thousands of busy professionals,Urgency / Scarcity; Emotional Appeal; Aspirational / Lifestyle,3,13,0,0
ad_11,"Free shipping, free returns, free upgrades - because premium quality shouldn't cost extra",Urgency / Scarcity; Value Proposition / Deal; Aspirational / Lifestyle,3,13,0,0
ad_12,Struggling with work-life balance? Here's how successful leaders manage it all effortlessly,Urgency / Scarcity; Problem / Solution Framing; Instructional / How-To,3,12,0,1
ad_13,"Join the movement: 2 million people have already switched to sustainable, guilt-free shopping",Urgency / Scarcity,1,13,0,0
ad_14,"Don't let another day pass wondering ""what if"" - your breakthrough moment starts here",Urgency / Scarcity; Brand Voice / Meta Language,2,14,0,0
ad_15,Unlock the insider secrets that industry experts don't want you to know about investing,Urgency / Scarcity,1,14,0,0
ad_16,Perfect for busy parents: meal planning that actually fits your chaotic schedule,Urgency / Scarcity; Aspirational / Lifestyle,2,12,0,0
ad_17,"Limited edition collection drops tonight at midnight - set your alarms, this won't last!",Urgency / Scarcity,1,14,1,0
ad_18,Ready to 10x your productivity? Discover the tools that changed how we work forever,Urgency / Scarcity,1,14,0,1
ad_19,"Think all protein powders taste like chalk? We thought so too, until we created this",Urgency / Scarcity,1,15,0,1
